area,row,col,x,y
3,7,19,907.4,824.0
3,7,18,926.7,824.0
3,7,17,946.0,824.0
3,7,16,965.3,824.0
3,7,15,984.7,824.0
3,7,14,1004.0,824.0
3,7,13,1023.3,824.0
3,7,12,1042.6,824.0
3,7,11,1061.9,824.0
3,7,10,1081.2,824.0
3,7,9,1100.5,824.0
3,7,8,1119.8,824.0
3,7,7,1139.1,824.0
3,7,6,1158.4,824.0
3,7,5,1177.8,824.0
3,7,4,1197.1,824.0
3,7,3,1216.4,824.0
3,7,2,1235.7,824.0
3,7,1,1255.0,824.0
3,8,30,695.0,778.0
3,8,29,714.3,778.0
3,8,28,733.6,778.0
3,8,27,752.9,778.0
3,8,26,772.2,778.0
3,8,25,791.6,778.0
3,8,24,810.9,778.0
3,8,23,830.2,778.0
3,8,22,849.5,778.0
3,8,21,868.8,778.0
3,8,20,888.1,778.0
3,8,19,907.4,778.0
3,8,18,926.7,778.0
3,8,17,946.0,778.0
3,8,16,965.3,778.0
3,8,15,984.7,778.0
3,8,14,1004.0,778.0
3,8,13,1023.3,778.0
3,8,12,1042.6,778.0
3,8,11,1061.9,778.0
3,8,10,1081.2,778.0
3,8,9,1100.5,778.0
3,8,8,1119.8,778.0
3,8,7,1139.1,778.0
3,8,6,1158.4,778.0
3,8,5,1177.8,778.0
3,8,4,1197.1,778.0
3,8,3,1216.4,778.0
3,8,2,1235.7,778.0
3,8,1,1255.0,778.0
3,9,15,965.0,684.0
3,9,14,985.6,684.0
3,9,13,1006.1,684.0
3,9,12,1026.7,684.0
3,9,11,1047.3,684.0
3,9,10,1067.9,684.0
3,9,9,1088.4,684.0
3,9,8,1109.0,684.0
3,9,7,1129.6,684.0
3,9,6,1150.1,684.0
3,9,5,1170.7,684.0
3,9,4,1191.3,684.0
3,9,3,1211.9,684.0
3,9,2,1232.4,684.0
3,9,1,1253.0,684.0
3,10,15,965.0,639.0
3,10,14,985.6,639.0
3,10,13,1006.1,639.0
3,10,12,1026.7,639.0
3,10,11,1047.3,639.0
3,10,10,1067.9,639.0
3,10,9,1088.4,639.0
3,10,8,1109.0,639.0
3,10,7,1129.6,639.0
3,10,6,1150.1,639.0
3,10,5,1170.7,639.0
3,10,4,1191.3,639.0
3,10,3,1211.9,639.0
3,10,2,1232.4,639.0
3,10,1,1253.0,639.0
3,11,15,965.0,617.0
3,11,14,985.6,617.0
3,11,13,1006.1,617.0
3,11,12,1026.7,617.0
3,11,11,1047.3,617.0
3,11,10,1067.9,617.0
3,11,9,1088.4,617.0
3,11,8,1109.0,617.0
3,11,7,1129.6,617.0
3,11,6,1150.1,617.0
3,11,5,1170.7,617.0
3,11,4,1191.3,617.0
3,11,3,1211.9,617.0
3,11,2,1232.4,617.0
3,11,1,1253.0,617.0
3,12,15,965.0,595.0
3,12,14,985.6,595.0
3,12,13,1006.1,595.0
3,12,12,1026.7,595.0
3,12,11,1047.3,595.0
3,12,10,1067.9,595.0
3,12,9,1088.4,595.0
3,12,8,1109.0,595.0
3,12,7,1129.6,595.0
3,12,6,1150.1,595.0
3,12,5,1170.7,595.0
3,12,4,1191.3,595.0
3,12,3,1211.9,595.0
3,12,2,1232.4,595.0
3,12,1,1253.0,595.0
3,13,13,1030.0,552.0
3,13,12,1048.7,552.0
